"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD3","Oct 10 ","11:56",1326,"3C        ",48,0.4,126,4.7,48,1.1,126,4.7,949,949,952,25,"x",,,
"S1",2,"StRS","RD2","Oct 10 ","13:55",1409,"3C        ",48,5.3,125,59.8,48,4.6,125,59.8,799,759,802,25,"x",,,
"S1",3,"StRS","RD2","Oct 10 ","15:55",1408,"3C        ",48,0.8,126,0.5,48,0.5,125,59.6,669,784,751,25,"x","x",,
"S1",4,"StRS","RD3","Oct 10 ","18:02",1466,"3C        ",48,3.2,126,18.8,48,2.7,126,19.4,1185,1207,1199,25,"x",,,
"S1",5,"StRS","RD3","Oct 10 ","19:55",1484,"3C        ",48,9.2,126,21.7,48,9.2,126,20.9,1203,1223,1212,25,"x",,,
,6,"StRS",,"Oct 11 ","08:47",211,"3C        ",48,4.6,125,58.1,48,4.9,125,57.3,570,556,563,0,"x","x",,"x"
,7,"StRS",,"Oct 12 ","06:54",538,"3C        ",48,0.1,126,18.6,48,0.1,126,19.5,391,442,409,0,"x","x",,"x"
"S1",8,"StRS","RD2","Oct 12 ","07:45",1346,"3C        ",48,9.6,126,22.8,48,9.5,126,23.7,705,733,711,25,"x",,,
"S1",9,"StRS","RD3","Oct 12 ","09:38",1351,"3C        ",48,4.9,126,22.8,48,5,126,21.8,923,837,877,25,"x",,,
"S1",10,"StRS","RD2","Oct 12 ","11:39",1329,"3C        ",48,4.7,126,17.6,48,5.1,126,16.8,782,673,715,25,"x",,,
"S1",11,"StRS","RD1","Oct 12 ","13:14",1318,"3C        ",48,8.7,126,14.3,48,8.9,126,13.3,455,334,407,26,"x",,,
"S1",12,"StRS","RD2","Oct 12 ","15:08",1303,"3C        ",48,1.6,126,16.7,48,1.6,126,17.8,464,603,517,25,"x",,,
"S1",13,"StRS","RD2","Oct 12 ","17:03",1326,"3C        ",48,2.8,126,24.5,48,2.8,126,25.5,532,623,572,25,"x",,,
"S1",14,"StRS","RD1","Oct 12 ","18:41",1315,"3C        ",48,6.5,126,27.5,48,6.5,126,28.4,312,303,307,25,"x","x",,
"S1",15,"StRS","RD1","Oct 12 ","20:21",1304,"3C        ",48,9.8,126,28.8,48,9.8,126,29.8,199,203,203,24,"x",,,
"S1",16,"StRS","RD1","Oct 12 ","21:33",1347,"3C        ",48,5.3,126,32.3,48,5.5,126,33.3,354,438,409,25,"x",,,
"S1",17,"StRS","RD3","Oct 14 ","08:18",1324,"3C        ",48,1.5,126,52,48,2.1,126,52.1,1293,1327,1316,25,"x",,,
"S1",18,"StRS","RD3","Oct 14 ","10:11",1358,"3C        ",48,9,126,46.8,48,9.6,126,46.9,1212,1201,1212,25,"x",,,
"S1",19,"StRS","RD3","Oct 14 ","11:53",1358,"3C        ",48,3.2,126,45,48,3.2,126,46.1,830,883,855,25,"x",,,
"S1",20,"StRS","RD2","Oct 14 ","13:51",1323,"3C        ",48,5.3,126,43.4,48,5.3,126,44.6,548,640,592,25,"x",,,
"S1",21,"StRS","RD2","Oct 14 ","15:41",1356,"3C        ",48,5,126,35.1,48,5,126,36.1,676,824,737,25,"x","x",,
"S1",22,"StRS","RD1","Oct 14 ","17:32",1342,"3C        ",48,7.6,126,40.2,48,8.1,126,41.2,378,365,371,25,"x",,,
"S1",23,"StRS","RD1","Oct 14 ","18:59",1362,"3D        ",49,0.5,126,49.6,49,0.5,126,50.7,329,367,345,25,"x",,,
"S1",24,"StRS","RD3","Oct 14 ","21:11",1403,"3D        ",49,0.1,127,4,49,0.1,127,3,1283,1300,1322,25,"x",,,
"S1",25,"StRS","RD1","Oct 16 ","08:03",1318,"3D        ",49,4.4,127,5.8,49,4.6,127,4.4,429,287,371,25,"x",,,
,26,"StRS",,"Oct 16 ","09:09",1324,"3D        ",49,7.1,127,8.5,49,7,127,7.9,274,252,265,0,"x",,,"x"
"S2",27,"StRS","RD1","Oct 16 ","10:27",1328,"3D        ",49,1.1,127,14.5,49,1.5,127,13.6,453,285,367,25,"x",,,
