"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
73190,1,"D","A","T","D","A","T","D","D","T","D","D","T","D","A","T",,"A","T","D","A","T","D","A","T","D",,
73190,2,"A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","A,F","T","D","A","T","D","D","T","D","A",,
73190,3,"A","T","D","A","T","D","A","T","D,F","D","T","D","A","T","D",,"T","D,F","A","T","D","A","T","D","A",,
73190,4,,"D","A",,,"A",,"D","A","T","A","A",,,,,"A","A",,"A","A",,"A","A","T",,
73190,5,"T","D","A","T","A","A","T","A","A","T",,"A",,"A","A","T","A","A",,"A","A","T","A","A","T",,
73190,8,"A","T","D","D","T","D","A","T","D","D","T","D","A",,"A","A","T","A","A","T","A","D","T","D","D",,
73190,9,"D","A","T","D","A","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T","D","A","T","D",,
73190,10,"T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T",,"A","T","A","A","T","D","A","T",,
73190,11,"D",,"T","D",,"T","A","A",,"A",,,"A","A","T",,"A","T","A,F","A",,"A","A","T","A",,
73190,12,"T","D","A","T","D","A","T","D","A",,,"A","T",,"A","T",,"A","T","A","A","T",,"A","T",,
73190,13,"A","T","D","D","T","D","A","T","D","A","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D",,
73190,14,"T",,"A","T",,"A",,,"A","T",,"A","T",,"A",,"D","A","T","A","A","T",,,"T",,
73190,15,"T","D",,"T","D","A",,"A","A","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T",,
73190,16,"A",,"D","T","A",,"A",,"T","D",,"T","D",,"T","D",,"T","A","T","A","A","T","D","A",,
73190,17,"T","D","A","T",,,"T","A","A","T",,,,,,,,"A","T",,"A","T","A",,"T",,
73190,18,"A","T","A","A","T",,"A","T","A","A","T","A","A",,"A","A","T","D","A","T",,"A",,"D","D",,
73190,19,"D","A","T","D","A","T","A","A","T","D","A","T","D","D","T","D","A","T","D","A","T","D","D","T",,,
73190,20,"T","D","A","T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T","D","A","T",,
73190,21,"D","A","T","D","A","T","D","A","T","D","A","T,F","D","A","T","D","A","T","D","A","T","D","D","T","D",,
73190,22,"T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","D","T",,
73190,23,,"T","A","A","T",,"A",,,"A",,"A","D",,"D","A","T","D","A","T","D","D","T","D","D",,
73190,24,"T",,"A",,"A","A","T","A","A",,,,,,"A","A","A","T","T","A","A","T",,"A","T",,
73190,25,,"D","A",,,"A","T",,"A","T","A","A","T","A","A","T","A","A","T","A,F","A","T","A","A",,,
73190,26,,,,,,"D",,,,,,,,,,,,,,,,,,,,,
73190,27,"T",,"A",,"D","A","T","D","A","T","D","A","T","D",,"T",,"D","T","D","A",,"D","A","T",,
73190,28,"A","T",,"A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","D","T","D","D",,
73190,29,,,"T","A","A",,"A","A","T","A",,"T","A","A","T",,"A","T","A","D",,"D",,"T",,,
73190,30,,"A","A",,"A","A",,,"A",,,"A,F",,"A","A",,"A","A","T","A","A",,,,"T",,
73190,31,"D,F",,"T","A,F","A","T",,"A","T","A","A",,"D","A","T","T","A","T","D","D","T","D","A",,,,
73190,32,"T","D","A",,"D","A","A","T","D","T","D","A","T",,"A","T","D","D","T","D","D","T","D","A","T",,
73190,33,"A","T",,,,"A",,"T","A","A","T","A","A","T","A",,"T","A","A","T","A","A","T","A","A",,
73190,34,,"A","A",,,"A","T",,"A",,"A","A","T","A","A","T","A","A","T","A","A","T","D","A","T",,
73190,35,"T",,"A,F","A,F","T",,"A","T","A","A","T","D","A","T","D","D","T","D","A",,,"D","T","D","D",,
73190,36,"A",,,"A",,,"A","T","D","A",,"A","A","T","D","A","T,F","D,F","A","T",,,"T",,,,
73190,37,"T","D","A","T","A","A","T","A","A","T","A","A","T","D","D","T","D","A","T","D","A","T","D","A","T",,
73190,38,"A","T","D","A","T","D",,"T","D","A","T","D","A","T","D","A","T","D","D","T","D","D","T","T","D",,
73190,39,,,"T",,,"T","A","A",,,"A",,"A",,,,,,"A",,,,,,,,
73190,40,"T","D","A","T","D",,"T",,"A","T","A","A","T","D","A","T","D",,"T","A","A","T","D","A",,,
73190,41,"D","A","T","D","A","T","D","D,F","T","D","D","T","D","A","T","D","D","T",,"D","T","D","A","T","D",,
73190,43,,,,,,,,,,,,,,"A",,,,,,,,,,,,,
73190,44,,"A","A",,,"A","T","A","A","T","D",,,"A","A","T","D","A","T","A",,,"A","A","T",,
73190,45,,"A","A","T","D","A","T","D","D","T","D","D","T","D","D","T","D","A","T","A","A","T","A",,"T",,
73190,46,,"T",,"A",,"D","A",,,"D","T","D","A,F","T",,"A","T",,,"T","D","D","T,F","D","A",,
73190,47,,"A","A","T","A",,"T","A","A","T","A","A","T","A","A","T","A","D","T","A","A","T","A","D","D",,
73190,48,"A","T","D","A","T","D","A","T","A","A","T","D","A","T","D","A","T","A","A",,"A","A","T","D",,,
73190,49,,,,"A",,,"A","A","T","D","A",,"A",,,"A","D","T",,"A","T",,"D",,"D",,
73190,50,"T","D","A","T","D","A","T","D","A",,,"A",,,"A","T","D","A","T","D","A",,,"A","T",,
73190,51,"D,F","A",,,,"T","A",,"T",,,,"A",,,,,,"A",,,,,,"A",,
73190,52,"T","A","D","T","D","A","T","D","A","T","D","A",,"D","A","T","D",,"T",,"A","T","A","A","T",,
73190,53,,,,,"T","A","A",,"A","A","T","A",,"T","A",,"T",,,,"A","A","T",,,,
73190,54,"T","A","A",,"A",,"T","A","A","T","A","A","T","D","D","T","D","A","T","D",,"T","A","D",,,
73190,55,"T","D","A","T","D","A","T","D","A","T","D","A","T","D","A","t","D","D","T","D",,"T","D","D","T",,
73190,56,"A","T","A","A","T","A","A","T","A","A",,,"A","T","A","A","T",,,"T","A","A","T","A","A",,
73190,57,"T","D","A","T","D","D","T","D","D","T","D","D","T","D","D","T","A","D","T","D","D","T","D","D","T",,
73190,58,"A","T","D","D","T","D","D","T","D","D","T",,"D","T","D","A","T","D","A","T","A","A","T","D","D",,
73190,59,"A",,,,,"T",,,"T",,"A",,,"A","T","A","A","T",,"A","T",,"A",,,,
73190,60,"T",,,"T","A","A","T","A",,"T","A",,,"A","A",,"A","A",,"A","A","T",,"A",,,
73190,61,"D","A","T","D","A","T","A","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D","D","T","D",,
73190,62,"T","D","A","T","D","D","T","D","D","T","D","A","T","D","D","T","D","D","T","A","D","T","D","D","T",,
73190,63,"A","T","D","A","T","D","A","T","A","A","T","D","A","T","D","A","T","A","A","T","D","A",,"A","A",,
73190,64,,,"A",,"A",,,,,"T",,,"T","A","A",,"A",,"T",,,,,,,,
73190,65,"T","D","A","T","D","D","T","D","D","T","D","D","T","D","A","T","D","A","T","D","A","T","D","A","T",,
