"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen","Rougheye","Blackspotted","Hybrid"
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",11,1,1,1,1,1,1,1,1,440,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",14,22,22,22,22,22,22,22,0.5,475,493,0,21,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",16,6,6,6,6,6,6,9,0.5,442,488,0,5,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",22,25,25,25,25,25,25,54,0.28,457,456,0,18,7,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",23,26,26,26,26,26,26,26,0.54,459,489,0,19,7,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",25,4,4,4,4,4,4,4,0.75,471,505,0,4,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",27,15,15,15,15,15,15,16,0.73,484,529,0,8,7,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",30,9,9,9,9,9,9,9,0.44,488,524,0,9,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",36,3,3,3,3,3,3,3,1,459,0,0,2,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",50,4,4,4,4,4,4,4,0.5,406,507,0,4,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",52,2,2,2,2,2,2,2,1,452,0,0,0,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",54,8,8,7,7,8,8,8,0.43,468,466,511,1,7,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",58,19,19,19,19,19,19,18,0.63,423,430,0,5,14,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",65,3,3,3,3,3,3,3,0.33,615,578,0,3,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",67,52,52,52,51,52,52,52,0.65,451,453,370,17,35,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",74,20,20,20,20,20,20,20,0.45,472,450,0,0,20,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",75,5,5,5,5,5,5,5,0.4,425,475,0,1,4,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",76,6,6,6,6,6,6,6,0.67,486,438,0,2,4,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",79,3,3,3,3,3,3,3,1,452,0,0,1,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",81,9,9,9,9,9,9,9,0.78,462,454,0,0,9,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",82,8,8,8,8,8,8,8,0.38,470,469,0,0,8,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",85,3,3,3,3,3,3,3,0.33,423,421,0,0,3,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",86,31,31,31,31,31,31,31,0.45,480,508,0,9,22,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",87,14,14,14,14,14,14,14,0.5,461,463,0,1,13,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",93,23,23,23,23,23,23,24,0.35,479,475,0,7,16,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",98,10,10,10,10,10,10,283,0.6,466,509,0,3,7,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",99,10,10,10,10,10,10,24,0.3,514,506,0,1,9,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",101,10,10,10,10,10,10,17,0.2,498,592,0,5,5,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",110,17,17,17,17,17,17,64,0.35,460,469,0,4,13,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",111,15,15,15,15,15,15,74,0.27,470,474,0,5,10,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",112,10,10,10,10,10,10,97,0.4,453,503,0,1,9,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",120,1,1,0,0,1,1,1,0,0,0,480,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",132,1,1,1,1,1,1,1,0,0,526,0,0,1,0
