"YEAR","TRIP_ID","SET_ID","BECKET","TRAP","total_count"
2012,73190,1,1,1,11
2012,73190,1,2,2,10
2012,73190,1,3,3,4
2012,73190,1,4,4,7
2012,73190,1,5,5,13
2012,73190,1,6,6,8
2012,73190,1,7,7,7
2012,73190,1,8,8,9
2012,73190,1,9,9,6
2012,73190,1,10,10,19
2012,73190,1,11,11,6
2012,73190,1,12,12,7
2012,73190,1,13,13,6
2012,73190,1,14,14,8
2012,73190,1,15,15,7
2012,73190,1,16,16,
2012,73190,1,17,17,11
2012,73190,1,18,18,4
2012,73190,1,19,19,9
2012,73190,1,20,20,9
2012,73190,1,21,21,6
2012,73190,1,22,22,6
2012,73190,1,23,23,13
2012,73190,1,24,24,19
2012,73190,1,25,25,8
2012,73190,2,1,1,7
2012,73190,2,2,2,16
2012,73190,2,3,3,17
2012,73190,2,4,4,14
2012,73190,2,5,5,11
2012,73190,2,6,6,5
2012,73190,2,7,7,5
2012,73190,2,8,8,3
2012,73190,2,9,9,2
2012,73190,2,10,10,7
2012,73190,2,11,11,1
2012,73190,2,12,12,7
2012,73190,2,13,13,3
2012,73190,2,14,14,5
2012,73190,2,15,15,10
2012,73190,2,16,16,7
2012,73190,2,17,17,6
2012,73190,2,18,18,11
2012,73190,2,19,19,13
2012,73190,2,20,20,2
2012,73190,2,21,21,9
2012,73190,2,22,22,6
2012,73190,2,23,23,4
2012,73190,2,24,24,11
2012,73190,2,25,25,13
2012,73190,3,1,1,6
2012,73190,3,2,2,14
2012,73190,3,3,3,10
2012,73190,3,4,4,7
2012,73190,3,5,5,7
2012,73190,3,6,6,5
2012,73190,3,7,7,13
2012,73190,3,8,8,1
2012,73190,3,9,9,1
2012,73190,3,10,10,4
2012,73190,3,11,11,4
2012,73190,3,12,12,6
2012,73190,3,13,13,15
2012,73190,3,14,14,6
2012,73190,3,15,15,7
2012,73190,3,16,16,
2012,73190,3,17,17,6
2012,73190,3,18,18,5
2012,73190,3,19,19,3
2012,73190,3,20,20,3
2012,73190,3,21,21,13
2012,73190,3,22,22,9
2012,73190,3,23,23,8
2012,73190,3,24,24,10
2012,73190,3,25,25,4
2012,73190,4,1,1,
2012,73190,4,2,2,1
2012,73190,4,3,3,8
2012,73190,4,4,4,
2012,73190,4,5,5,
2012,73190,4,6,6,5
2012,73190,4,7,7,
2012,73190,4,8,8,1
2012,73190,4,9,9,3
2012,73190,4,10,10,1
2012,73190,4,11,11,3
2012,73190,4,12,12,8
2012,73190,4,13,13,
2012,73190,4,14,14,
2012,73190,4,15,15,
2012,73190,4,16,16,
2012,73190,4,17,17,1
2012,73190,4,18,18,5
2012,73190,4,19,19,
2012,73190,4,20,20,3
2012,73190,4,21,21,2
2012,73190,4,22,22,
2012,73190,4,23,23,2
2012,73190,4,24,24,1
2012,73190,4,25,25,1
2012,73190,5,1,1,5
2012,73190,5,2,2,5
2012,73190,5,3,3,6
2012,73190,5,4,4,8
2012,73190,5,5,5,1
2012,73190,5,6,6,2
2012,73190,5,7,7,1
2012,73190,5,8,8,2
2012,73190,5,9,9,1
2012,73190,5,10,10,1
2012,73190,5,11,11,
2012,73190,5,12,12,3
2012,73190,5,13,13,
2012,73190,5,14,14,2
2012,73190,5,15,15,3
2012,73190,5,16,16,2
2012,73190,5,17,17,4
2012,73190,5,18,18,5
2012,73190,5,19,19,
2012,73190,5,20,20,2
2012,73190,5,21,21,3
2012,73190,5,22,22,2
2012,73190,5,23,23,3
2012,73190,5,24,24,6
2012,73190,5,25,25,2
2012,73190,6,1,1,
2012,73190,6,2,2,
2012,73190,6,3,3,
2012,73190,6,4,4,
2012,73190,6,5,5,
2012,73190,6,6,6,
2012,73190,6,7,7,
2012,73190,6,8,8,
2012,73190,6,9,9,
2012,73190,6,10,10,
2012,73190,6,11,11,
2012,73190,6,12,12,
2012,73190,6,13,13,
2012,73190,6,14,14,
2012,73190,6,15,15,
2012,73190,6,16,16,
2012,73190,6,17,17,
2012,73190,6,18,18,
2012,73190,6,19,19,
2012,73190,6,20,20,
2012,73190,6,21,21,
2012,73190,6,22,22,
2012,73190,6,23,23,
2012,73190,6,24,24,
2012,73190,6,25,25,
2012,73190,7,1,1,
2012,73190,7,2,2,
2012,73190,7,3,3,
2012,73190,7,4,4,
2012,73190,7,5,5,
2012,73190,7,6,6,
2012,73190,7,7,7,
2012,73190,7,8,8,
2012,73190,7,9,9,
2012,73190,7,10,10,
2012,73190,7,11,11,
2012,73190,7,12,12,
2012,73190,7,13,13,
2012,73190,7,14,14,
2012,73190,7,15,15,
2012,73190,7,16,16,
2012,73190,7,17,17,
2012,73190,7,18,18,
2012,73190,7,19,19,
2012,73190,7,20,20,
2012,73190,7,21,21,
2012,73190,7,22,22,
2012,73190,7,23,23,
2012,73190,7,24,24,
2012,73190,8,1,1,15
