"Year","lat","depth","temperature","Sets"
2012,51,907.2,3.7,55
2012,51,238.9,6.1,71
2012,49,952.6,3.7,28
2012,48,438.1,5.9,11
2012,51,271.2,6,68
2012,49,820.8,4.1,31
2012,53,1091,3.2,95
2012,52,1182.8,2.9,88
2012,54,1065.9,2.9,109
2012,48,1236.8,3,18
2012,50,724.4,4.3,48
2012,50,646,4.7,45
2012,52,515.4,5.2,82
2012,50,221,8.1,42
2012,51,692.6,4.5,62
2012,51,608.3,4.7,65
2012,54,359.9,5.3,112
2012,52,204.8,6.5,85
2012,49,413.4,5.9,25
2012,50,215.8,6.7,51
2012,49,805.4,4.1,38
2012,53,492.3,5,99
2012,51,496.9,5.4,78
2012,53,754,4,102
2012,53,1000.8,3.3,105
2012,48,675.7,4.5,21
2012,50,587.3,4.7,52
2012,53,551.5,4.7,104
2012,48,371.2,6.1,22
2012,50,186.4,7,46
2012,52,1290.1,2.5,92
2012,49,918,3.8,34
2012,51,479.3,5.4,74
2012,51,405,6,58
2012,48,906.7,3.9,9
2012,48,201.3,6.9,15
2012,50,221.4,6.7,49
2012,53,314.2,5.8,101
2012,52,402.4,5.7,86
2012,51,211.3,6.3,77
2012,53,355.4,5.4,98
2012,49,931.9,3.7,37
2012,54,499.9,4.8,110
2012,52,920.1,3.5,89
2012,51,1266.6,2.7,64
2012,49,425.4,5.9,27
2012,49,1308.1,2.8,24
2012,50,1222.3,2.9,39
2012,51,398,6,67
2012,48,475.9,5.8,12
2012,48,815.8,4.2,19
2012,49,331.8,6.3,23
2012,53,1132.8,3,107
2012,51,1102.5,3.1,63
2012,50,825.7,4,40
2012,48,723.8,4.4,3
2012,50,194.5,8,43
2012,52,584.1,4.9,83
2012,52,221.5,6.3,80
2012,51,254.6,6.3,60
2012,51,613.8,4.6,57
2012,53,956.1,3.3,100
2012,51,513.2,5.1,79
2012,51,380.2,5.5,76
2012,53,752.5,3.9,97
2012,51,984.8,3.3,73
2012,53,1028.1,3.3,94
2012,48,571.6,5.2,6
2012,49,622.5,4.9,36
2012,49,900.1,3.8,33
2012,52,1256.1,2.7,90
2012,48,543.8,5.3,13
2012,50,423.1,6,50
2012,54,383.5,5.2,111
2012,54,375.5,5.6,114
2012,50,233.7,6.6,53
2012,49,354.6,6.6,30
2012,51,219.8,6.2,70
2012,51,628.2,4.8,66
2012,49,260.5,6.8,26
2012,49,596.8,5,35
2012,53,1321,2.5,96
2012,49,622.7,4.7,32
2012,50,1193.4,3,44
2012,51,368.2,5.6,75
2012,52,604.4,4.9,84
2012,52,387.5,5.8,87
2012,48,306.4,6.3,14
2012,48,553.2,5.2,20
2012,49,338.9,6.6,29
2012,52,544.3,5,81
2012,51,1268.4,2.8,72
2012,53,388.3,5.6,93
2012,51,206.4,6.2,69
2012,50,295.1,6.4,54
2012,54,356.1,5.6,115
2012,52,1005.9,3.3,91
2012,53,875.2,3.6,106
2012,53,593.8,4.6,103
2012,51,256.4,6.3,59
2012,48,1280.1,2.9,17
2012,51,1213.7,2.8,56
2012,48,942.1,3.8,1
2012,48,1181.6,3.2,4
2012,50,1065.2,3.2,47
2012,48,742.4,4.4,10
2012,48,398.9,5.9,7
2012,54,661.5,4.2,108
