"Year","trip","Sets","Avgtemp","Mintemp","Maxtemp","depth_stratum","lat"
2007,65106,4,6.4148,6.2982,6.5196,"RD1       ",48
2010,70787,119,2.9465,2.8459,3.0934,"RD3       ",53
2010,70787,56,4.3517,3.9052,4.7271,"RD2       ",51
2006,62666,93,3.8143,3.6956,3.9726,"RD2       ",52
2006,62666,43,4.43,4.2008,4.5898,"RD2       ",50
2008,67007,19,3.3887,3.2962,3.4672,"RD3       ",48
2009,69067,45,7.0853,7.002,7.1312,"RD1       ",50
2010,70787,122,2.8804,2.7726,2.9698,"RD3       ",53
2011,72067,74,5.6693,5.3169,5.9717,"RD1       ",51
2009,69067,120,2.9375,2.853,3.0096,"RD3       ",53
2006,62666,33,4.5966,4.2369,5.0199,"RD2       ",50
2011,72067,110,5.3255,5.2226,5.4173,"RD1       ",54
2009,69067,51,7.1093,7.0527,7.1733,"RD1       ",50
2010,70787,19,5.1526,4.9426,5.2795,"RD2       ",49
2007,65106,2,3.3531,3.2982,3.368,"RD3       ",48
2007,65106,20,6.0234,5.8202,6.3544,"RD1       ",49
2009,69067,57,6.9448,6.8609,7.0091,"RD1       ",51
2006,62666,34,3.5014,3.3198,3.6019,"RD3       ",50
2006,62666,55,5.8564,5.6547,6.0596,"RD1       ",51
2012,73190,17,2.8885,2.8504,2.9976,"RD3       ",48
2012,73190,93,5.6249,5.2443,6.0901,"RD1       ",53
2006,62666,6,5.5717,5.3158,5.8554,"RD2       ",48
2008,67007,101,2.9302,2.8549,2.997,"RD3       ",53
2010,70787,65,6.3218,6.247,6.3661,"RD1       ",51
2010,70787,50,6.0793,5.6813,6.3228,"RD1       ",50
2008,67007,117,4.5268,4.315,4.795,"RD2       ",53
2012,73190,108,4.2114,4.0878,4.3443,"RD2       ",54
2008,67007,45,6.8021,6.6781,6.8505,"RD1       ",50
2007,65106,17,4.5098,4.3663,4.802,"RD2       ",49
2006,62666,25,2.893,2.7147,2.9654,"RD3       ",49
2006,62666,36,6.9126,6.8514,6.9996,"RD1       ",50
2009,69067,76,4.1747,3.9297,4.3446,"RD2       ",51
2010,70787,88,3.0966,2.85,3.2463,"RD3       ",52
2011,72067,107,3.0375,3.0116,3.0664,"RD3       ",54
2007,65106,57,4.3505,3.8611,5.3531,"RD2       ",51
2011,72067,105,3.2298,3.0636,3.3604,"RD3       ",53
