"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.52,0.48,580,618,599
"S1","RD2       ",0.74,0.26,555,606,548
"S1","RD3       ",0.3,0.7,561,664,620
"S2","RD1       ",0.35,0.65,600,648,633
"S2","RD2       ",0.7,0.3,572,614,582
"S2","RD3       ",0.43,0.57,591,662,618
"S3","RD1       ",0.27,0.73,616,675,665
"S3","RD2       ",0.6,0.4,556,597,564
"S3","RD3       ",0.46,0.54,587,676,601
"S4","RD1       ",0.18,0.82,654,694,662
"S4","RD2       ",0.48,0.52,620,667,644
"S4","RD3       ",0.72,0.28,577,717,599
"S5","RD1       ",0.39,0.61,568,610,562
"S5","RD2       ",0.62,0.38,590,660,617
"S5","RD3       ",0.43,0.57,636,700,665
