"Date","Set","Tube label - tag number","Precaudal length (mm)","Release GMU Area","Release Spatial Strata","GFBio Specimen id"
"October 15,2012",23,"118360-20937",895,"3D","S1",12359130
"October 17,2012",30,"118355-20932",825,"3D","S2",12359136
"October 21,2012",42,"118356-20933",893,"3D",,12359140
"October 21,2012",43,"118346-20923",880,"3D",,12359131
"October 22,2012",49,"118359-20936",880,"5A","S2",12359139
"October 22,2012",49,"118348-20925",845,"5A","S2",12359138
"October 24,2012",53,"118358-20935",842,"5A","S3",12359132
"October 24,2012",59,"118351-20928",920,"5A","S3",12359133
"October 28,2012",70,"118349-20926",865,"5B","S3",12359134
"October 31,2012",77,"118350-20927",900,"5B","S4",12359135
"October 31,2012",80,"118365-20942",920,"5E","S4",12359147
"November 2,2012",85,"118352-20929",852,"5E","S4",12359137
"November 5,2012",93,"118354-20931",918,"5E","S4",12359144
"November 5,2012",93,"118366-20943",824,"5E","S4",12359146
"November 5,2012",93,"118362-20939",988,"5E","S4",12359145
"November 5,2012",93,"118347-20924",888,"5E","S4",12359143
"November 9,2012",112,"118357-20934",906,"5E","S5",12359142
"November 9,2012",114,"118364-20941",860,"5E","S5",12359141
